i1,i2,i3,i4,i5,d1,d2,d3,d4,d5
361,341,137,334,244,0.12881166,0.13901758,0.14828044,0.15509146,0.1643138
271,366,154,342,393,0.096999824,0.10110289,0.13630879,0.1423943,0.14754093
188,77,89,50,107,0.15574533,0.17336828,0.17787886,0.18948346,0.20931512
325,296,364,316,340,0.07889283,0.08806366,0.08974618,0.09788871,0.11175048
378,309,184,365,317,0.09140068,0.100877106,0.122045934,0.13594311,0.1366688
181,251,5,81,159,0.13676602,0.14505696,0.14813936,0.15632999,0.1612261
349,54,370,231,78,0.096698046,0.1064409,0.11072081,0.11875421,0.11961073
